model,variant,horizon,period,eligible_universe,n_rebalances,total_return,annualized_return,annualized_vol,sharpe,sortino,max_drawdown,calmar,hit_rate,avg_turnover,total_cost,btc_total_return,excess_return,beta,alpha,information_ratio,correlation,up_capture,down_capture,drawdown_vs_btc
current_no_team,always_l_s,30,Train,eligible_sensitivity,12,-0.11824247174842717,-0.11978221963448787,0.3304347124666186,-0.2229298152330189,-0.3697333408806157,-0.3379254121670894,-0.35446348608805067,0.6666666666666666,1.0999999999999999,0.06599999999999999,0.5873405303467063,-0.7055830020951335,-0.4084659716085266,0.12430072467882139,-0.9435310041058644,-0.5054589429175423,-0.03991418488542241,0.11053158293910796,-0.16323648553760617
current_no_team,sticky_l_s,30,Train,eligible_sensitivity,12,0.0251025748615179,0.025455622319650484,0.3055721538296131,0.22887913655085815,0.3148209574070824,-0.2766071097494225,0.0920280839589071,0.6666666666666666,0.8833333333333332,0.053000000000000005,0.5873405303467063,-0.5622379554851884,-0.3307438976444605,0.22309496062930595,-0.7692468922477055,-0.4425819839725319,0.10613317234064443,0.07657350016418665,-0.10191818311993928
equal_family,always_l_s,7,Train,eligible_base,51,-0.3600051731373691,-0.36637386965193863,0.31612647505132596,-1.2777581149877748,-1.6859558060656872,-0.4179001362933594,-0.8767019625826344,0.47058823529411764,1.3098039215686275,0.3340000000000001,0.5912546450163658,-0.951259818153735,-0.11180179580350848,-0.2984089675399839,-1.6705133526213378,-0.1546855462066471,-0.1965740494472692,0.08699985985676978,-0.17807073501795612
equal_family,sticky_l_s,7,Train,eligible_base,51,-0.41819023827120905,-0.4252089598403458,0.3499365890208204,-1.3945038311138147,-1.7651502311431473,-0.4797383443540483,-0.8863351550789118,0.49019607843137253,1.219607843137255,0.31100000000000005,0.5912546450163658,-1.0094448832875749,-0.12106109179468687,-0.3516152827955442,-1.748650816557703,-0.15131328385951195,-0.2875463083038703,0.027051169580079977,-0.23990894307864497
equal_family,always_l_s,14,Train,eligible_base,25,-0.23251096730014698,-0.24116614215058008,0.331714649123262,-0.6613714084334066,-0.8353916410458918,-0.3126033585918295,-0.7714764909659017,0.48,1.6560000000000001,0.20700000000000002,0.4383175182240755,-0.6708284855242225,-0.08050584774753522,-0.2040611362829993,-1.18829534812512,-0.10357784414776193,-0.2563657044872559,-0.11444043122647268,-0.11341961999565131
equal_family,sticky_l_s,14,Train,eligible_base,25,-0.3245103982418711,-0.3357728687696222,0.38105794449252917,-0.8660536655204715,-0.9402649590218856,-0.3897348165356479,-0.8615418857219549,0.48,1.584,0.19800000000000006,0.4383175182240755,-0.7628279164659466,-0.10019730542210432,-0.28959210414663505,-1.2990606598204577,-0.11221970246480002,-0.37796125323430274,-0.15924442169274064,-0.19055107793946968
equal_family,always_l_s,30,Train,eligible_base,12,-0.3068266910821096,-0.3103459333109695,0.2442327048967339,-1.3837895992542268,-2.238013978437125,-0.2354605298200999,-1.3180380318862133,0.4166666666666667,1.9000000000000004,0.11400000000000002,0.5873405303467063,-0.8941672214288159,0.1355447156044857,-0.3913420396465074,-1.9727504276908931,0.22693131927692944,-0.1488189249112781,0.5983715236293553,-0.060771603190616696
equal_family,sticky_l_s,30,Train,eligible_base,12,-0.34517653401438975,-0.3490158656869371,0.21928420423106348,-1.819346634356171,-2.362149651218368,-0.26774540886207443,-1.3035363226964916,0.3333333333333333,1.8166666666666667,0.10900000000000001,0.5873405303467063,-0.932517064361096,0.0570948224899461,-0.38313345037462293,-2.025159588415687,0.10646455532696318,-0.21738724761582393,0.5953888314108463,-0.09305648223259122
equal_family,always_l_s,7,Train,eligible_sensitivity,51,-0.3932901828119617,-0.40004613984803494,0.3485560103193671,-1.2828792473833355,-1.6986718393787865,-0.4962232777764457,-0.8061817285973036,0.45098039215686275,1.2509803921568627,0.31900000000000006,0.5912546450163658,-0.9845448278283275,-0.07755543723942246,-0.35289977996763505,-1.723872655849154,-0.09731986533474914,-0.19390226958961213,0.13326556236714046,-0.2563938765010424
equal_family,sticky_l_s,7,Train,eligible_sensitivity,51,-0.41273044105521706,-0.4196935769245306,0.32577329885271933,-1.4997358917014847,-2.199134808413263,-0.46789874185386515,-0.8969752200265798,0.37254901960784315,1.0509803921568628,0.268,0.5912546450163658,-1.0039850860715829,-0.1755247357782676,-0.3129911630709751,-1.7380411582431219,-0.23565934533898092,-0.27438446640402225,0.048140760954554246,-0.22806934057846184
equal_family,always_l_s,14,Train,eligible_sensitivity,25,-0.31210114867863126,-0.32304258105111616,0.3080955941750303,-1.0998897690536362,-1.275524941075059,-0.37141919789427236,-0.8697519753490852,0.52,1.5440000000000003,0.19300000000000006,0.4383175182240755,-0.7504186669027068,-0.2861387395836449,-0.19116173129609487,-1.2797853177532958,-0.39636496778585195,-0.4715700228913155,-0.3037342092160081,-0.17223545929809414
