model,variant,horizon,period,eligible_universe,n_rebalances,total_return,annualized_return,annualized_vol,sharpe,sortino,max_drawdown,calmar,hit_rate,avg_turnover,total_cost,btc_total_return,excess_return,beta,alpha,information_ratio,correlation,up_capture,down_capture,drawdown_vs_btc,train_start,train_end,validation_start,validation_end,purge_days,weight_fundamentals,weight_momentum,weight_flows,weight_factor_improvement
current_no_team,sticky_l_s,14,fold_3,eligible_base,7,-0.0931283716411575,-0.3051679835330633,0.2608422079267638,-1.2731674482239126,-2.25906841896663,-0.09262901672571344,-3.294518222477794,0.42857142857142855,1.0,0.034999999999999996,0.2042335030221758,-0.2973618746633333,-1.0643396610828015,0.7570954674838725,-2.447880613907462,-0.708955186697408,-0.4769815491564109,-0.8290813131138347,-0.0846404479877767,2024-05-01,2025-04-16,2025-05-01,2025-07-31,15,0.35000000000000003,0.6000000000000001,0.05,0.0
current_no_team,always_l_s,14,fold_3,eligible_sensitivity,7,0.006000091958114684,0.022530569567856595,0.2429300727922283,0.19553032705195197,0.6403993933723052,-0.09761158649840884,0.23081859824318976,0.5714285714285714,0.9142857142857143,0.032,0.2042335030221758,-0.19823341106406112,-0.9196313502412842,0.9403679926108306,-1.6517617728112213,-0.6577318818486434,-0.02139473024562021,-2.1343022791994035,-0.0896230177604721,2024-05-01,2025-04-16,2025-05-01,2025-07-31,15,0.35000000000000003,0.6000000000000001,0.05,0.0
current_no_team,sticky_l_s,14,fold_3,eligible_sensitivity,7,-0.059965525410235254,-0.20571879363778944,0.21760299451055218,-0.9596610346704394,-2.6778291004207353,-0.11318741839966795,-1.8175058371893473,0.5714285714285714,0.7142857142857142,0.025,0.2042335030221758,-0.26419902843241105,-0.6541973618106273,0.44720242372636265,-2.5275547240587506,-0.5223484699058238,-0.30702340716367404,-0.6996362713694054,-0.10519884966173121,2024-05-01,2025-04-16,2025-05-01,2025-07-31,15,0.35000000000000003,0.6000000000000001,0.05,0.0
equal_family,always_l_s,14,fold_3,eligible_base,7,-0.1939602025765006,-0.5520539774953375,0.3693326200421479,-1.973213744696537,-2.2130748315238504,-0.23138089550393393,-2.3859099356193454,0.2857142857142857,1.5428571428571431,0.054000000000000006,0.2042335030221758,-0.3981937055986764,-1.105309097471026,0.5510989907267534,-2.8634726969907596,-0.5199750240571944,-0.5862164399458699,9.75705428935155,-0.22339232676599718,2024-05-01,2025-04-16,2025-05-01,2025-07-31,15,0.35000000000000003,0.6000000000000001,0.05,0.0
equal_family,sticky_l_s,14,fold_3,eligible_base,7,-0.0734680225355212,-0.2473866018309384,0.2662300185778465,-0.949229114462705,-1.677418750276081,-0.12883275109646497,-1.9202151605511002,0.2857142857142857,1.4000000000000001,0.049,0.2042335030221758,-0.277701525557697,-0.16125350264026664,-0.08644765680566963,-2.7647558811620407,-0.1052370196988371,0.05025887668825052,9.75705428935155,-0.12084418235852823,2024-05-01,2025-04-16,2025-05-01,2025-07-31,15,0.35000000000000003,0.6000000000000001,0.05,0.0
equal_family,always_l_s,14,fold_3,eligible_sensitivity,7,-0.12511996906666656,-0.3921620728736849,0.38349399332135264,-1.1092597918575138,-1.1532393487875992,-0.21467943791771327,-1.8267332757970085,0.42857142857142855,1.342857142857143,0.047,0.2042335030221758,-0.32935347208884236,-1.1953705126818255,0.800876627529019,-2.191321096416894,-0.5415772074162775,-0.7258999986614261,-3.9508385452271098,-0.20669086917977653,2024-05-01,2025-04-16,2025-05-01,2025-07-31,15,0.35000000000000003,0.6000000000000001,0.05,0.0
equal_family,sticky_l_s,14,fold_3,eligible_sensitivity,7,-0.09426371947167389,-0.30840234805742295,0.4051657058735449,-0.718027780257128,-0.7268702720330036,-0.2166739508155665,-1.4233476008379795,0.5714285714285714,1.2571428571428573,0.044000000000000004,0.2042335030221758,-0.2984972224938497,-1.2972951646075104,0.9863621795949478,-1.8528508461218391,-0.556317250315285,-0.5461123126707431,-3.950838545227109,-0.20868538207762977,2024-05-01,2025-04-16,2025-05-01,2025-07-31,15,0.35000000000000003,0.6000000000000001,0.05,0.0
heuristic,always_l_s,14,fold_3,eligible_base,7,-0.199324376467522,-0.5630566674814329,0.2974708766796671,-2.607567032218633,-3.4446584170483847,-0.13731273338018002,-4.100542270340571,0.2857142857142857,1.4285714285714288,0.05,0.2042335030221758,-0.4035578794896978,-0.6950211116163401,0.1306086646965472,-3.535541626847044,-0.40594757307315815,-0.717836399331942,8.024691305963822,-0.12932416464224328,2024-05-01,2025-04-16,2025-05-01,2025-07-31,15,0.35000000000000003,0.6000000000000001,0.05,0.0
heuristic,sticky_l_s,14,fold_3,eligible_base,7,-0.19525095701826356,-0.554719805156899,0.30148519340723035,-2.5088681574187333,-3.363257036036554,-0.13577372804046195,-4.085619605227212,0.2857142857142857,1.3428571428571432,0.047,0.2042335030221758,-0.39948446004043936,-0.7073076378239006,0.15120808587092738,-3.4583654094921554,-0.4076230798009283,-0.6992572372640413,7.84346276708982,-0.1277851593025252,2024-05-01,2025-04-16,2025-05-01,2025-07-31,15,0.35000000000000003,0.6000000000000001,0.05,0.0
heuristic,always_l_s,14,fold_3,eligible_sensitivity,7,-0.1688286754199544,-0.4977866199451927,0.4426655198720426,-1.3297001535071804,-1.3067315394438954,-0.2630479965019068,-1.8923794386002264,0.5714285714285714,1.2285714285714284,0.043,0.2042335030221758,-0.3730621784421302,-1.1685442675855116,0.6684781653852815,-2.312495574993828,-0.45865473363919634,-0.852581908553513,-1.649760153601408,-0.25505942776397006,2024-05-01,2025-04-16,2025-05-01,2025-07-31,15,0.35000000000000003,0.6000000000000001,0.05,0.0
heuristic,sticky_l_s,14,fold_3,eligible_sensitivity,7,-0.09526323135067905,-0.31124061702939587,0.3678516127589477,-0.8401281833072212,-0.9257663956727274,-0.20644017595118125,-1.507655259424879,0.5714285714285714,1.0571428571428572,0.037,0.2042335030221758,-0.29949673437285484,-0.1769655736384137,-0.13462025058257174,-2.3637195271178535,-0.08358580506811686,-0.4522342263086509,-0.9817788065175438,-0.1984516072132445,2024-05-01,2025-04-16,2025-05-01,2025-07-31,15,0.35000000000000003,0.6000000000000001,0.05,0.0
learned_global,always_l_s,14,fold_3,eligible_base,7,-0.06998903757328245,-0.236807436375585,0.2675352538006723,-0.8917305902658038,-1.6859660491533608,-0.1431260896360057,-1.6545371775182784,0.2857142857142857,1.2285714285714289,0.043000000000000003,0.2042335030221758,-0.27422254059545825,-0.4974249659610143,0.2596472014476143,-2.4895317540128175,-0.3230449577203459,-0.009419457823321258,7.78144431187554,-0.13513752089806896,2024-05-01,2025-04-16,2025-05-01,2025-07-31,15,0.35000000000000003,0.6000000000000001,0.05,0.0
learned_global,sticky_l_s,14,fold_3,eligible_base,7,-0.003341854172292935,-0.012390147885811609,0.24374331796354912,0.05125629218558239,0.13049217885020378,-0.10856319172526874,-0.11412844159156871,0.42857142857142855,1.0285714285714287,0.036000000000000004,0.2042335030221758,-0.20757535719446873,-0.6211591381543021,0.607557293568371,-1.8580874376856462,-0.44277854217541984,0.19117069654790378,4.385890646226069,-0.100574622987332,2024-05-01,2025-04-16,2025-05-01,2025-07-31,15,0.35000000000000003,0.6000000000000001,0.05,0.0
learned_global,long_only,14,fold_3,eligible_base,7,0.11762658205072563,0.5131453608931325,0.3309404129885379,1.407202379089714,1.3474403127910075,-0.10851041965546293,4.728996187854097,0.7142857142857143,1.0000000000000002,0.035,0.2042335030221758,-0.08660692097145017,1.1947222225148615,-0.679246313963874,-0.9795053649542709,0.6272397071526303,0.5173832349086053,-2.6456687659304996,-0.10052185091752619,2024-05-01,2025-04-16,2025-05-01,2025-07-31,15,0.35000000000000003,0.6000000000000001,0.05,0.0
learned_global,short_only,14,fold_3,eligible_base,7,-0.2747118935382382,-0.6976757470161391,0.7222290711210307,-1.3054568332566787,-3.192479279202382,-0.38096730340945084,-1.8313271001797775,0.42857142857142855,1.457142857142857,0.051000000000000004,0.2042335030221758,-0.478945396560414,-2.1895721544368905,1.4876252034872661,-1.961743949325832,-0.5267453394570282,-0.536222150555248,18.208557389681584,-0.3729787346715141,2024-05-01,2025-04-16,2025-05-01,2025-07-31,15,0.35000000000000003,0.6000000000000001,0.05,0.0
learned_global,regime_switch,14,fold_3,eligible_base,7,0.11762658205072563,0.5131453608931325,0.3309404129885379,1.407202379089714,1.3474403127910075,-0.10851041965546293,4.728996187854097,0.7142857142857143,1.0000000000000002,0.035,0.2042335030221758,-0.08660692097145017,1.1947222225148615,-0.679246313963874,-0.9795053649542709,0.6272397071526303,0.5173832349086053,-2.6456687659304996,-0.10052185091752619,2024-05-01,2025-04-16,2025-05-01,2025-07-31,15,0.35000000000000003,0.6000000000000001,0.05,0.0
