model,variant,horizon,period,eligible_universe,n_rebalances,total_return,annualized_return,annualized_vol,sharpe,sortino,max_drawdown,calmar,hit_rate,avg_turnover,total_cost,btc_total_return,excess_return,beta,alpha,information_ratio,correlation,up_capture,down_capture,drawdown_vs_btc,scheme,weight_fundamentals,weight_momentum,weight_flows,weight_factor_improvement,train_start,train_end,validation_start,validation_end,purge_days,fold_retrained_rolling_folds,fold_retrained_rolling_positive_folds,fold_retrained_rolling_avg_total_return,fold_retrained_rolling_min_total_return,fold_retrained_rolling_avg_sharpe,validation_total_return_gt_0,validation_sharpe_gt_0,fold_retrained_rolling_positive_folds_ge_3,fold_retrained_rolling_avg_return_gt_0,would_clear_strict_gate_no_leakage
shrunk_75_to_equal,sticky_l_s,14,fold_2,eligible_sensitivity,7,-0.16408213409154304,-0.4870215156109742,0.5356996596113808,-0.9687512196833343,-0.8769144698768134,-0.29333319489696075,-1.6603014049673117,0.7142857142857143,1.3142857142857143,0.046,0.06568445492499086,-0.2297665890165339,-1.1121676123168187,-0.18966408221084236,-0.9250920394505097,-0.7578026683802255,-1.0783219222635194,-0.7819417727731605,-0.1505075757525165,shrunk_75_to_equal,0.25,0.3375,0.2,0.2125,2024-05-01,2025-01-17,2025-02-01,2025-04-30,15.0,4,0,-0.10285155934943846,-0.16408213409154304,-0.7396954461776819,False,False,False,False,False
shrunk_75_to_equal,sticky_l_s,14,fold_3,eligible_sensitivity,7,-0.036015179263210184,-0.12769250243184416,0.2791751658128173,-0.36581225600318057,-0.48896416657038067,-0.14691247366485705,-0.8691740003176429,0.5714285714285714,1.2,0.042,0.2042335030221758,-0.24024868228538598,-0.495890319166522,0.367230482236242,-2.090691724869133,-0.3086208430578382,-0.21573693924622203,-1.990942293403219,-0.1389239049269203,shrunk_75_to_equal,0.275,0.3375,0.2,0.1875,2024-05-01,2025-04-16,2025-05-01,2025-07-31,15.0,4,0,-0.10285155934943846,-0.16408213409154304,-0.7396954461776819,False,False,False,False,False
shrunk_75_to_equal,sticky_l_s,14,fold_4,eligible_sensitivity,7,-0.11314127456748535,-0.36058266530175864,0.28961288629820825,-1.4097135747413063,-3.0340113869201946,-0.11335009197106871,-3.18114135623104,0.14285714285714285,1.2,0.042,-0.09092618285710707,-0.022215091710378276,0.21558728128977608,-0.2961516276116978,-0.252144707625289,0.19045967716892626,-0.132907054182674,0.4403603822130342,0.015016199375393113,shrunk_75_to_equal,0.2375,0.3375,0.2375,0.1875,2024-05-01,2025-07-17,2025-08-01,2025-10-31,15.0,4,0,-0.10285155934943846,-0.16408213409154304,-0.7396954461776819,False,False,False,False,False
shrunk_75_to_equal,sticky_l_s,14,Test,eligible_sensitivity,13,0.1160528823670961,0.2463257016747593,0.1560822141564405,1.488241767967509,2.74599714499451,-0.0625962868514005,3.935148777427013,0.6153846153846154,1.0923076923076922,0.07100000000000001,-0.28923388204233946,0.40528676440943556,-0.3287194147635327,0.08336031853671727,1.6281209993110348,-0.7484769069873269,-0.2500432760152894,-0.32928915067729375,0.23752898176321013,shrunk_75_to_equal,0.325,0.3,0.1875,0.1875,,,,,,4,0,-0.10285155934943846,-0.16408213409154304,-0.7396954461776819,False,False,False,False,False
momentum_anchored,sticky_l_s,14,Validation,eligible_sensitivity,13,-0.08729784214340797,-0.16739276093195,0.41496759295787905,-0.23260310095361744,-0.2569935261845773,-0.277563348487485,-0.603079483815557,0.6153846153846154,0.8461538461538459,0.055,0.1312957529760912,-0.21859359511949916,-0.5133390447403133,-0.02329958338167437,-0.6637478120065647,-0.3321183751788616,-0.6609381811909871,-0.9073141262278002,-0.1482983442332797,momentum_anchored,0.2,0.55,0.2,0.05,,,,,,4,1,-0.0475130677829087,-0.12574757285354876,-0.002199994062600047,False,False,False,False,False
momentum_anchored,sticky_l_s,14,fold_1,eligible_sensitivity,7,-0.12574757285354876,-0.393784507482721,0.6968598830173005,-0.3547299779165834,-0.24902093978668502,-0.325147113530588,-1.2110964271121416,0.7142857142857143,1.0,0.034999999999999996,0.3901996605680973,-0.5159472334216461,-0.06231486507172154,-0.2435395646146379,-1.6959300947387441,-0.050757648389015204,-0.47561856896877885,-1.2614042829208387,-0.24588831004389589,momentum_anchored,0.2,0.55,0.2,0.05,2024-05-01,2024-10-17,2024-11-01,2025-01-31,15.0,4,1,-0.0475130677829087,-0.12574757285354876,-0.002199994062600047,False,False,False,False,False
momentum_anchored,sticky_l_s,14,fold_2,eligible_sensitivity,7,-0.07713203213002884,-0.2584120023344485,0.46951842657105386,-0.420421505868237,-0.8180283937675636,-0.24679495497062465,-1.0470716565709643,0.7142857142857143,1.1428571428571428,0.04,0.06568445492499086,-0.1428164870550197,-1.1584653307141357,0.051323934595586984,-0.5878266642941123,-0.9006118499624811,-0.8374030117707266,-0.9486077135417275,-0.1039693358261804,momentum_anchored,0.2,0.55,0.2,0.05,2024-05-01,2025-01-17,2025-02-01,2025-04-30,15.0,4,1,-0.0475130677829087,-0.12574757285354876,-0.002199994062600047,False,False,False,False,False
momentum_anchored,sticky_l_s,14,fold_3,eligible_sensitivity,7,0.09982223512327959,0.4252964817179714,0.23209195116950804,1.636144826344684,50.30691836666402,-0.08735170686390192,4.868782728889355,0.7142857142857143,0.7428571428571429,0.026000000000000002,0.2042335030221758,-0.10441126789889621,-0.29603243480805064,0.7207514453075334,-0.9946121013144003,-0.2216131993683081,0.4017630074718894,-2.6629900628825105,-0.07936313812596518,momentum_anchored,0.2,0.55,0.2,0.05,2024-05-01,2025-04-16,2025-05-01,2025-07-31,15.0,4,1,-0.0475130677829087,-0.12574757285354876,-0.002199994062600047,False,False,False,False,False
momentum_anchored,sticky_l_s,14,fold_4,eligible_sensitivity,7,-0.0869949012713368,-0.28750331596878176,0.33475200832119245,-0.8697933188102639,-4.2487092719645565,-0.08963078911107114,-3.2076401292473897,0.2857142857142857,0.8857142857142858,0.031000000000000003,-0.09092618285710707,0.003931281585770274,0.11631226124395264,-0.2527418975623207,0.053114708997800075,0.08889965952984634,0.007861637785545971,0.3756473303542287,0.038735502235390684,momentum_anchored,0.2,0.55,0.2,0.05,2024-05-01,2025-07-17,2025-08-01,2025-10-31,15.0,4,1,-0.0475130677829087,-0.12574757285354876,-0.002199994062600047,False,False,False,False,False
momentum_anchored,sticky_l_s,14,Test,eligible_sensitivity,13,0.2342535912599557,0.52514459884485,0.1480563191577714,2.9413547805695366,14.849717569304325,-0.04154024222478825,12.64182803757175,0.7692307692307693,0.9230769230769231,0.06,-0.28923388204233946,0.5234874733022952,-0.28390220541318034,0.38439771989285354,2.083887607751405,-0.6814724225558222,-0.11573950552688674,-0.470246447628156,0.2585850263898224,momentum_anchored,0.2,0.55,0.2,0.05,,,,,,4,1,-0.0475130677829087,-0.12574757285354876,-0.002199994062600047,False,False,False,False,False
